"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          22, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.77703921e+00, -3.42350887e+00, -4.26961116e+00, 1.32219191e+00, 0.00000000e+00, -13.4069964459, 10.0000000000, 2268.4259943798, 0.0212096697
          23, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.78290100e+00, -3.44929039e+00, -4.29967983e+00, 1.31557922e+00, 0.00000000e+00, -13.4365017707, 10.0000000000, 2370.4652323909, 0.0221026575
          24, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.76379159e+00, -3.47536277e+00, -4.32073055e+00, 1.33386036e+00, 0.00000000e+00, -13.4756846718, 10.0000000000, 2399.5164966512, 0.0230009362
          25, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.73424705e+00, -3.51346757e+00, -4.33420740e+00, 1.36270050e+00, 0.00000000e+00, -13.5095737791, 10.0000000000, 2300.6078533847, 0.0239136013
          26, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.70806821e+00, -3.56780772e+00, -4.34903458e+00, 1.38846882e+00, 0.00000000e+00, -13.5248133496, 10.0000000000, 2152.7939236653, 0.0248067422
          27, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.66952060e+00, -3.62671980e+00, -4.34581103e+00, 1.42683867e+00, 0.00000000e+00, -13.5261523350, 10.0000000000, 2028.7761705381, 0.0257053295
          28, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.63290235e+00, -3.70082646e+00, -4.33793818e+00, 1.46342156e+00, 0.00000000e+00, -13.5295151360, 10.0000000000, 1857.2239906103, 0.0265992661
          29, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.65804501e+00, -3.79445234e+00, -4.36371025e+00, 1.43874557e+00, 0.00000000e+00, -13.5294341623, 10.0000000000, 1707.1882060080, 0.0274976227
          30, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.63244316e+00, -3.83626699e+00, -4.34263869e+00, 1.46410654e+00, 0.00000000e+00, -13.5203294604, 10.0000000000, 1786.5788695183, 0.0283841322
          31, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.63061861e+00, -3.82602206e+00, -4.32025248e+00, 1.46528543e+00, 0.00000000e+00, -13.5183601793, 10.0000000000, 1685.2379232485, 0.0292822893
          32, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.65263338e+00, -3.78028123e+00, -4.32158896e+00, 1.44307530e+00, 0.00000000e+00, -13.4842605200, 10.0000000000, 1680.6695262212, 0.0301881375
          33, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.66889576e+00, -3.72686494e+00, -4.32640424e+00, 1.42659976e+00, 0.00000000e+00, -13.4632827552, 10.0000000000, 1750.8560213149, 0.0310828835
          34, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.70266827e+00, -3.67470331e+00, -4.31816388e+00, 1.39273925e+00, 0.00000000e+00, -13.4447396221, 10.0000000000, 1804.8074072480, 0.0319737134
          35, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.71112231e+00, -3.61087633e+00, -4.29995668e+00, 1.38446784e+00, 0.00000000e+00, -13.4606813646, 10.0000000000, 1920.9642238806, 0.0328716206
          36, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.79020019e+00, -3.60296248e+00, -4.33413840e+00, 1.30566181e+00, 0.00000000e+00, -13.4728937103, 10.0000000000, 1950.4571021774, 0.0337612273
