"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"Temperature"	"Nu_Tilde"	"Residual_Pressure"	"Residual_Velocity:0"	"Residual_Velocity:1"	"Residual_Velocity:2"	"Residual_Temperature"	"Residual_Nu_Tilde"	"Pressure_Coefficient"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Thermal_Conductivity"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
429.78	-0.057428	0.01825	0	322.1	2.8103e-006	-1.6863e-013	-2.3078e-013	-5.1444e-013	0	3.9168e-006	-4.8542e-020	13.778	0.001003	0	0	0	0	0	0.00016201	1.3528	1	5.85e-005	0.0022	5.85e-005	0
429.78	-0.057318	0.0187	0	322.1	2.8099e-006	-1.9201e-013	-3.9518e-013	-6.9803e-013	0	3.9311e-006	-4.9402e-020	13.778	0.001003	0	0	0	0	0	0.00016189	1.3522	1	6e-005	0.0022	6e-005	0
429.77	-0.057205	0.01915	0	322.09	2.8095e-006	-2.139e-013	-5.5899e-013	-8.5858e-013	0	3.9489e-006	-5.0887e-020	13.778	0.001003	0	0	0	0	0	0.0001617	1.3514	1	6.15e-005	0.0022	6.15e-005	0
429.77	-0.057092	0.0196	0	322.09	2.8091e-006	-2.3579e-013	-7.228e-013	-1.0191e-012	0	3.9668e-006	-5.2372e-020	13.777	0.001003	0	0	0	0	0	0.00016152	1.3505	1	6.3e-005	0.0022	6.3e-005	0
429.77	-0.056982	0.020047	0	322.08	2.8087e-006	-2.6149e-013	-8.7335e-013	-1.1895e-012	0	3.9765e-006	-5.5155e-020	13.777	0.001003	0	0	0	0	0	0.00016143	1.3501	1	6.45e-005	0.0022	6.45e-005	0
429.76	-0.056877	0.020492	0	322.08	2.8083e-006	-2.9074e-013	-1.0115e-012	-1.3692e-012	0	3.9784e-006	-5.9151e-020	13.777	0.001003	0	0	0	0	0	0.00016144	1.3502	1	6.6e-005	0.0022	6.6e-005	0
429.75	-0.056771	0.020938	0	322.07	2.8079e-006	-3.1999e-013	-1.1497e-012	-1.5488e-012	0	3.9804e-006	-6.3146e-020	13.777	0.001003	0	0	0	0	0	0.00016146	1.3502	1	6.75e-005	0.0022	6.75e-005	0
429.74	-0.056665	0.021383	0	322.06	2.8075e-006	-3.4924e-013	-1.2878e-012	-1.7284e-012	0	3.9824e-006	-6.7142e-020	13.777	0.001003	0	0	0	0	0	0.00016147	1.3503	1	6.9e-005	0.0022	6.9e-005	0
429.73	-0.056559	0.021826	0	322.06	2.807e-006	-3.9041e-013	-1.3563e-012	-1.6062e-012	0	3.3912e-006	-6.8957e-020	13.776	0.001003	0	0	0	0	0	0.00016143	1.3501	1	7.05e-005	0.0022	7.05e-005	0
429.71	-0.056453	0.022262	0	322.05	2.8066e-006	-4.6048e-013	-1.256e-012	-7.5211e-013	0	1.362e-006	-6.5484e-020	13.776	0.001003	0	0	0	0	0	0.00016125	1.3493	1	7.2e-005	0.0022	7.2e-005	0
