"Iteration","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Heat","Linear_Solver_Iterations","CFL_Number","Time(min)"
         182, -2.89425756e+03, 0.00000000e+00, 0.00000000e+00, -6.52310158e+00, 0.0000000000, 3387.9985553222, 0.1638972280
         183, -2.89198994e+03, 0.00000000e+00, 0.00000000e+00, -6.52143223e+00, 0.0000000000, 3379.0129619839, 0.1647701243
         184, -2.89679502e+03, 0.00000000e+00, 0.00000000e+00, -6.52415799e+00, 0.0000000000, 3366.0495456884, 0.1656452731
         185, -2.90014153e+03, 0.00000000e+00, 0.00000000e+00, -6.52644600e+00, 0.0000000000, 3382.9931238790, 0.1665276671
         186, -2.89903884e+03, 0.00000000e+00, 0.00000000e+00, -6.52596097e+00, 0.0000000000, 3397.2814155025, 0.1674091519
         187, -2.89666647e+03, 0.00000000e+00, 0.00000000e+00, -6.52439348e+00, 0.0000000000, 3393.4893512564, 0.1682895577
         188, -2.89826963e+03, 0.00000000e+00, 0.00000000e+00, -6.52512634e+00, 0.0000000000, 3381.2633715279, 0.1691653518
         189, -2.89768405e+03, 0.00000000e+00, 0.00000000e+00, -6.52472699e+00, 0.0000000000, 3385.8311085766, 0.1700425266
         190, -2.90052228e+03, 0.00000000e+00, 0.00000000e+00, -6.52648211e+00, 0.0000000000, 3382.7191564272, 0.1709159754
         191, -2.89589937e+03, 0.00000000e+00, 0.00000000e+00, -6.52360399e+00, 0.0000000000, 3393.6733603260, 0.1717910275
         192, -2.89674287e+03, 0.00000000e+00, 0.00000000e+00, -6.52361195e+00, 0.0000000000, 3371.2574470004, 0.1726708472
         193, -2.89494515e+03, 0.00000000e+00, 0.00000000e+00, -6.52228452e+00, 0.0000000000, 3371.3068835259, 0.1735502334
         194, -2.89716470e+03, 0.00000000e+00, 0.00000000e+00, -6.52341992e+00, 0.0000000000, 3361.0180924881, 0.1744249306
         195, -2.89282975e+03, 0.00000000e+00, 0.00000000e+00, -6.52061139e+00, 0.0000000000, 3368.0549871722, 0.1753019915
