"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          22, -8.06138982e-02, 6.49506719e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.17045017e-05, 6.49506719e-03, -8.06138982e-02, 0.00000000e+00, -1.24115572e+01, 0.00000000e+00, 0.00000000e+00, -1.40192090e+04, 8.62737862e+06, 0.00000000e+00, -4.77526823e+00, -3.42196911e+00, -4.26851342e+00, 1.33133147e+00, 0.00000000e+00, -13.4037259701, 10.0000000000, 2238.0479722583, 0.0225773238
          23, -7.70610344e-02, 6.06862609e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.81165486e-05, 6.06862609e-03, -7.70610344e-02, 0.00000000e+00, -1.26982670e+01, 0.00000000e+00, 0.00000000e+00, -1.43551969e+04, 8.83434583e+06, 0.00000000e+00, -4.78037549e+00, -3.44764381e+00, -4.29902664e+00, 1.33033055e+00, 0.00000000e+00, -13.4333565701, 10.0000000000, 2332.1146940507, 0.0234719750
          24, -7.23846358e-02, 5.89205505e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.33970548e-05, 5.89205505e-03, -7.23846358e-02, 0.00000000e+00, -1.22851255e+01, 0.00000000e+00, 0.00000000e+00, -1.44548492e+04, 8.89883569e+06, 0.00000000e+00, -4.76032669e+00, -3.47382471e+00, -4.31970414e+00, 1.34708097e+00, 0.00000000e+00, -13.4732017651, 10.0000000000, 2336.4184953017, 0.0243694911
          25, -6.66392383e-02, 5.88142346e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.76052295e-05, 5.88142346e-03, -6.66392383e-02, 0.00000000e+00, -1.13304609e+01, 0.00000000e+00, 0.00000000e+00, -1.39758542e+04, 8.61588164e+06, 0.00000000e+00, -4.73095522e+00, -3.51307187e+00, -4.33343789e+00, 1.37021739e+00, 0.00000000e+00, -13.5063253481, 10.0000000000, 2248.0202534111, 0.0252627969
          26, -5.98432275e-02, 5.68788155e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.07609141e-05, 5.68788155e-03, -5.98432275e-02, 0.00000000e+00, -1.05211803e+01, 0.00000000e+00, 0.00000000e+00, -1.39096599e+04, 8.57585080e+06, 0.00000000e+00, -4.70551663e+00, -3.56877129e+00, -4.34886063e+00, 1.39629733e+00, 0.00000000e+00, -13.5219888267, 10.0000000000, 2131.3943155532, 0.0261565803
          27, -5.23017962e-02, 5.25778610e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.31649347e-05, 5.25778610e-03, -5.23017962e-02, 0.00000000e+00, -9.94749411e+00, 0.00000000e+00, 0.00000000e+00, -1.41649068e+04, 8.72734952e+06, 0.00000000e+00, -4.66695490e+00, -3.62871775e+00, -4.34510586e+00, 1.43612866e+00, 0.00000000e+00, -13.5250713649, 10.0000000000, 2007.1686305583, 0.0270555661
          28, -4.55361489e-02, 4.63210113e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.63566332e-05, 4.63210113e-03, -4.55361489e-02, 0.00000000e+00, -9.83056017e+00, 0.00000000e+00, 0.00000000e+00, -1.39346179e+04, 8.58938640e+06, 0.00000000e+00, -4.63279692e+00, -3.70487833e+00, -4.33846859e+00, 1.46658171e+00, 0.00000000e+00, -13.5286305799, 10.0000000000, 1831.2706131413, 0.0279487384
          29, -3.81958400e-02, 3.95411788e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.89672645e-05, 3.95411788e-03, -3.81958400e-02, 0.00000000e+00, -9.65976259e+00, 0.00000000e+00, 0.00000000e+00, -1.34384383e+04, 8.29167176e+06, 0.00000000e+00, -4.65800188e+00, -3.79733549e+00, -4.36415313e+00, 1.44033044e+00, 0.00000000e+00, -13.5278961612, 10.0000000000, 1707.2592889684, 0.0288410468
          30, -2.99897932e-02, 3.36920779e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.06945244e-05, 3.36920779e-03, -2.99897932e-02, 0.00000000e+00, -8.90114090e+00, 0.00000000e+00, 0.00000000e+00, -1.35245192e+04, 8.33773150e+06, 0.00000000e+00, -4.63104817e+00, -3.83693989e+00, -4.34177550e+00, 1.46919833e+00, 0.00000000e+00, -13.5196110957, 10.0000000000, 1791.8452493245, 0.0297333655
          31, -2.30293008e-02, 3.06497817e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.36867047e-05, 3.06497817e-03, -2.30293008e-02, 0.00000000e+00, -7.51369163e+00, 0.00000000e+00, 0.00000000e+00, -1.38186653e+04, 8.51148447e+06, 0.00000000e+00, -4.62987884e+00, -3.82381427e+00, -4.31841494e+00, 1.47160757e+00, 0.00000000e+00, -13.5179200209, 10.0000000000, 1676.6121323611, 0.0306252053
