"Conservative_1"	"Residual_1"	"Points:0"	"Points:1"	"Points:2"
392.7	3.061e-016	0.00094977	0.00099847	0
392.64	5.5323e-016	0.00093402	0.00099748	0
392.58	-1.1705e-016	0.00091828	0.00099623	0
392.52	4.282e-016	0.00090257	0.00099474	0
392.47	4.371e-016	0.00088687	0.000993	0
392.41	5.3505e-016	0.00087121	0.00099101	0
392.35	2.2383e-016	0.00085559	0.00098877	0
392.3	2.3108e-016	0.00084	0.00098629	0
392.24	7.821e-017	0.00082445	0.00098357	0
392.19	2.6404e-016	0.00080894	0.00098059	0
392.13	2.1341e-016	0.00079349	0.00097738	0
392.08	3.5717e-016	0.00077808	0.00097391	0
392.03	-5.5303e-017	0.00076274	0.00097021	0
391.98	6.5019e-016	0.00074745	0.00096627	0
391.93	-1.112e-016	0.00073223	0.00096208	0
391.88	3.1482e-016	0.00071708	0.00095765	0
391.83	5.0334e-016	0.00070199	0.00095299	0
391.79	5.6844e-016	0.00068699	0.00094809	0
391.74	5.6447e-016	0.00067206	0.00094295	0
391.7	8.5091e-017	0.00065722	0.00093758	0
391.65	-1.6673e-016	0.00064246	0.00093197	0
391.61	1.8159e-016	0.00062779	0.00092613	0
391.57	-1.5355e-016	0.00061322	0.00092006	0
391.52	4.9375e-016	0.00059874	0.00091376	0
391.48	4.9323e-016	0.00058437	0.00090723	0
391.44	-6.9592e-017	0.0005701	0.00090048	0
391.41	-1.0519e-016	0.00055594	0.0008935	0
391.37	2.9562e-016	0.00054189	0.0008863	0
391.33	-1.2431e-016	0.00052796	0.00087888	0
391.29	5.653e-016	0.00051414	0.00087124	0
391.26	6.1498e-016	0.00050045	0.00086338	0
391.22	-2.4391e-017	0.00048688	0.00085531	0
391.19	5.3741e-016	0.00047345	0.00084702	0
391.16	6.963e-017	0.00046014	0.00083853	0
391.13	4.9223e-016	0.00044697	0.00082982	0
391.09	1.819e-016	0.00043394	0.00082091	0
391.06	-1.3298e-016	0.00042105	0.00081179	0
391.03	1.1502e-016	0.00040831	0.00080247	0
391	4.5335e-016	0.00039572	0.00079295	0
390.98	1.6813e-016	0.00038327	0.00078324	0
390.95	7.9967e-017	0.00037099	0.00077332	0
390.92	5.3135e-016	0.00035886	0.00076322	0
390.89	3.3773e-016	0.00034689	0.00075292	0
390.87	3.0459e-016	0.00033509	0.00074244	0
390.84	1.0594e-016	0.00032345	0.00073177	0
390.82	2.5166e-016	0.00031198	0.00072092	0
390.79	-1.8566e-016	0.00030069	0.00070989	0
390.77	-2.1592e-016	0.00028957	0.00069869	0
390.75	2.2331e-017	0.00027863	0.0006873	0
390.73	1.1674e-016	0.00026787	0.00067575	0
390.7	5.3451e-016	0.0002573	0.00066403	0
390.68	2.9586e-016	0.00024691	0.00065214	0
390.66	5.4417e-016	0.00023671	0.0006401	0
390.64	3.2081e-016	0.0002267	0.00062789	0
390.62	3.4133e-016	0.00021688	0.00061552	0
390.6	3.489e-016	0.00020726	0.00060301	0
390.59	6.3403e-016	0.00019784	0.00059034	0
390.57	1.0764e-016	0.00018862	0.00057752	0
390.55	2.367e-016	0.00017961	0.00056456	0
390.53	-8.623e-017	0.0001708	0.00055146	0
390.52	-2.7063e-016	0.0001622	0.00053822	0
390.5	-6.2536e-017	0.00015381	0.00052485	0
390.49	-7.9604e-018	0.00014563	0.00051135	0
390.47	7.8329e-017	0.00013766	0.00049772	0
390.46	6.3796e-016	0.00012991	0.00048397	0
390.44	4.917e-016	0.00012238	0.00047009	0
390.43	8.1554e-017	0.00011507	0.0004561	0
390.42	7.73e-018	0.00010798	0.00044199	0
390.41	-1.6186e-016	0.00010112	0.00042778	0
390.39	2.1193e-018	9.4476e-005	0.00041346	0
390.38	6.0079e-016	8.8062e-005	0.00039903	0
390.37	4.8044e-017	8.1877e-005	0.00038451	0
390.36	-5.9338e-017	7.5923e-005	0.00036989	0
390.35	1.0159e-017	7.0199e-005	0.00035517	0
390.34	-2.9473e-017	6.4709e-005	0.00034037	0
390.33	3.5789e-016	5.9453e-005	0.00032549	0
390.32	-1.766e-016	5.4433e-005	0.00031052	0
390.31	3.0512e-017	4.9649e-005	0.00029547	0
390.31	1.7954e-016	4.5104e-005	0.00028036	0
390.3	3.1954e-016	4.0798e-005	0.00026517	0
390.29	5.5566e-016	3.6732e-005	0.00024991	0
390.29	-2.1367e-016	3.2907e-005	0.0002346	0
390.28	1.4464e-016	2.9325e-005	0.00021922	0
390.27	4.2689e-016	2.5986e-005	0.00020379	0
390.27	5.1914e-016	2.2891e-005	0.00018831	0
390.27	1.2592e-016	2.004e-005	0.00017278	0
390.26	1.6106e-016	1.7435e-005	0.00015721	0
390.26	-1.0493e-016	1.5077e-005	0.0001416	0
390.26	5.1113e-016	1.2965e-005	0.00012596	0
390.26	1.3972e-016	1.11e-005	0.00011028	0
390.26	-1.8207e-016	9.4827e-006	9.458e-005	0
390.26	8.6565e-017	8.1137e-006	7.8853e-005	0
390.26	1.8096e-016	6.9931e-006	6.3106e-005	0
390.26	1.9146e-017	6.1213e-006	4.7343e-005	0
390.26	-1.4167e-016	5.4984e-006	3.1569e-005	0
390.26	3.3192e-016	5.1246e-006	1.5786e-005	0
394.93	-6.848e-017	0.0019018	0.00044188	0
394.91	2.63e-016	0.0019086	0.00042767	0
394.91	-1.5173e-016	0.0019088	0.00042774	0
394.93	3.5016e-016	0.0019019	0.00044195	0
394.45	1.916e-017	0.0019877	0.00010904	0
394.44	-1.499e-017	0.0019893	9.3512e-005	0
394.42	1.5411e-017	0.0019936	9.3919e-005	0
394.43	-1.6261e-017	0.001992	0.00010951	0
394.42	1.2929e-017	0.0019926	4.6809e-005	0
394.4	-8.7651e-018	0.0019969	4.7012e-005	0
394.4	7.4708e-018	0.001996	6.2664e-005	0
394.42	-1.6476e-017	0.0019917	6.2393e-005	0
390.26	-3.2286e-016	5.7583e-006	3.156e-005	0
390.26	-1.3361e-016	6.381e-006	4.7331e-005	0
390.26	1.9356e-016	6.2212e-006	4.7338e-005	0
390.26	3.5857e-016	5.5984e-006	3.1565e-005	0
390.26	1.7953e-016	7.2526e-006	6.3089e-005	0
390.26	-3.0125e-016	7.093e-006	6.3099e-005	0
390.26	2.6404e-016	9.7416e-006	9.4555e-005	0
390.26	-1.6072e-016	1.1358e-005	0.00011025	0
390.26	1.1517e-016	1.1199e-005	0.00011027	0
390.26	1.7855e-016	9.5823e-006	9.457e-005	0
390.27	1.2706e-016	1.6642e-005	0.00014138	0
390.27	9.0322e-017	1.8997e-005	0.00015697	0
390.27	-1.5392e-016	1.835e-005	0.00015707	0
390.27	-1.8272e-016	1.5993e-005	0.00014147	0
390.28	2.1997e-016	2.624e-005	0.00020374	0
390.28	-3.1759e-016	2.9579e-005	0.00021916	0
390.28	2.5047e-016	2.9422e-005	0.0002192	0
390.28	-5.4575e-016	2.6084e-005	0.00020377	0
390.38	4.2267e-018	4.766e-005	0.00024709	0
390.35	9.8764e-018	4.3502e-005	0.00024817	0
390.34	-2.6292e-018	3.9704e-005	0.00023296	0
390.37	4.5689e-018	4.3879e-005	0.00023195	0
390.3	1.7497e-016	4.1048e-005	0.0002651	0
390.31	-1.6085e-016	4.5353e-005	0.00028028	0
390.31	9.5386e-017	4.52e-005	0.00028033	0
390.3	-4.3718e-016	4.0894e-005	0.00026514	0
390.32	1.8804e-016	4.9745e-005	0.00029544	0
390.45	-1.7105e-017	8.6409e-005	0.00036571	0
390.42	2.372e-017	8.2419e-005	0.0003673	0
390.4	1.7962e-017	7.6735e-005	0.00035269	0
390.44	8.8159e-018	8.075e-005	0.00035116	0
390.36	-2.0124e-018	7.6015e-005	0.00036985	0
390.35	2.3353e-017	7.0293e-005	0.00035514	0
390.39	1.1925e-016	9.4567e-005	0.00041341	0
390.38	-6.3936e-016	8.8154e-005	0.00039899	0
390.46	-2.1752e-017	0.00010744	0.00042479	0
