"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
962, 1.028678133536624e-03, 9.997196336934779e-04, 3.753212557538502e+02, 1.203193767193268e+01, 2.781015922360592e-01, -6.586773347026383e-03, -1.287305260514045e+06
963, 1.012893366909713e-03, 9.999688468941563e-04, 3.746870610280918e+02, 1.201160684522033e+01, 2.943004943916920e-01, -2.323094155542117e-03, -1.316890872243837e+06
964, 9.971066330902866e-04, 9.999688468941563e-04, 3.742325820408641e+02, 1.199703729243403e+01, 3.101393897773358e-01, 2.448120263217154e-03, -1.345695531213985e+06
965, 9.813218664633759e-04, 9.997196336934779e-04, 3.739635042325242e+02, 1.198841127573710e+01, 3.255503920790935e-01, 7.710587445470056e-03, -1.373678616079882e+06
966, 9.655430009237472e-04, 9.992212694012756e-04, 3.738843513596399e+02, 1.198587381637796e+01, 3.404711592650571e-01, 1.344443981328035e-02, -1.400809746391630e+06
967, 9.497739688954918e-04, 9.984738782203787e-04, 3.739985251142570e+02, 1.198953396479285e+01, 3.548452376049085e-01, 1.962664678237121e-02, -1.427068323060675e+06
968, 9.340187003519839e-04, 9.974776464163387e-04, 3.743083540709672e+02, 1.199946636973647e+01, 3.686220866526321e-01, 2.623143975563719e-02, -1.452441249724475e+06
969, 9.182811218364491e-04, 9.962328222710068e-04, 3.748151397515310e+02, 1.201571275500800e+01, 3.817568421585198e-01, 3.323071107794005e-02, -1.476922385730459e+06
970, 9.025651554833866e-04, 9.947397160206570e-04, 3.755191903428550e+02, 1.203828300037203e+01, 3.942099838122957e-01, 4.059437634625425e-02, -1.500511320823680e+06
971, 8.868747180410920e-04, 9.929986997786696e-04, 3.764198438056733e+02, 1.206715588236981e+01, 4.059471187806376e-01, 4.829071566463908e-02, -1.523213363448865e+06
972, 8.712137198955209e-04, 9.910102074427922e-04, 3.775154961959208e+02, 1.210227998223749e+01, 4.169390060126010e-01, 5.628672462297363e-02, -1.545036754402604e+06
973, 8.555860640957391e-04, 9.887747345870025e-04, 3.788036552612529e+02, 1.214357540408745e+01, 4.271617579996820e-01, 6.454849350208347e-02, -1.565991720277848e+06
974, 8.399956453812006e-04, 9.862928383380027e-04, 3.802810252510056e+02, 1.219093649372088e+01, 4.365970016998454e-01, 7.304159950647424e-02, -1.586092095425784e+06
975, 8.244463492110977e-04, 9.835651372363699e-04, 3.819436084616648e+02, 1.224423509394237e+01, 4.452317841313809e-01, 8.173146955782909e-02, -1.605354426293311e+06
976, 8.089420507960219e-04, 9.805923110824042e-04, 3.837868002846587e+02, 1.230332359157391e+01, 4.530581576771927e-01, 9.058367301113288e-02, -1.623797475651034e+06
977, 7.934866141321809e-04, 9.773751007667072e-04, 3.858054630302454e+02, 1.236803728407920e+01, 4.600725477145506e-01, 9.956413073711398e-02, -1.641442743923521e+06
978, 7.780838910384098e-04, 9.739143080855379e-04, 3.879939776016875e+02, 1.243819603611901e+01, 4.662750828482403e-01, 1.086392577121614e-01, -1.658314234579241e+06
979, 7.627377201962165e-04, 9.702107955409863e-04, 3.903462825952103e+02, 1.251360553300614e+01, 4.716690396019986e-01, 1.177760723463457e-01, -1.674436547307529e+06
980, 7.474519261931030e-04, 9.662654861260218e-04, 3.928559110112722e+02, 1.259405845758436e+01, 4.762604730137792e-01, 1.269423043834838e-01, -1.689834115169832e+06
981, 7.322303185693968e-04, 9.620793630944628e-04, 3.955160317681834e+02, 1.267933582105977e+01, 4.800580299557980e-01, 1.361065218965604e-01, -1.704531694639113e+06
982, 7.170766908688336e-04, 9.576534697159296e-04, 3.983194994039516e+02, 1.276920855632784e+01, 4.830728923798265e-01, 1.452382830783444e-01, -1.718552138395396e+06
