"Iteration","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Heat","Linear_Solver_Iterations","CFL_Number","Time(min)"
          67, -6.20658026e+03, 0.00000000e+00, 0.00000000e+00, -5.94930206e+00, 0.0000000000, 5899.8190596248, 0.0631855767
          68, -4.85744672e+03, 0.00000000e+00, 0.00000000e+00, -5.95957357e+00, 0.0000000000, 7463.8604350421, 0.0640799183
          69, -5.25817467e+03, 0.00000000e+00, 0.00000000e+00, -5.83162292e+00, 0.0000000000, 7606.4271675587, 0.0649761941
          70, -6.99130687e+03, 0.00000000e+00, 0.00000000e+00, -5.85760035e+00, 0.0000000000, 5665.3933617922, 0.0658691474
          71, -5.99237346e+03, 0.00000000e+00, 0.00000000e+00, -5.98355339e+00, 0.0000000000, 5943.0859386736, 0.0667650136
          72, -4.81440221e+03, 0.00000000e+00, 0.00000000e+00, -5.99516586e+00, 0.0000000000, 7495.0484597005, 0.0676600261
          73, -5.15804122e+03, 0.00000000e+00, 0.00000000e+00, -5.86782996e+00, 0.0000000000, 7657.1017560116, 0.0685503125
          74, -6.77591626e+03, 0.00000000e+00, 0.00000000e+00, -5.89024809e+00, 0.0000000000, 5711.2150484305, 0.0694410984
          75, -5.84477065e+03, 0.00000000e+00, 0.00000000e+00, -6.02060131e+00, 0.0000000000, 5952.0013754773, 0.0703342406
          76, -4.72279491e+03, 0.00000000e+00, 0.00000000e+00, -6.03310971e+00, 0.0000000000, 7567.3808909981, 0.0712243698
          77, -5.02699022e+03, 0.00000000e+00, 0.00000000e+00, -5.89905542e+00, 0.0000000000, 7743.7677476836, 0.0721164072
          78, -6.59635189e+03, 0.00000000e+00, 0.00000000e+00, -5.91877362e+00, 0.0000000000, 5687.1937750911, 0.0730126190
          79, -5.73875271e+03, 0.00000000e+00, 0.00000000e+00, -6.05720698e+00, 0.0000000000, 5897.5629864352, 0.0739050375
          80, -4.65395259e+03, 0.00000000e+00, 0.00000000e+00, -6.07353239e+00, 0.0000000000, 7610.6065650904, 0.0747979296
          81, -4.92524435e+03, 0.00000000e+00, 0.00000000e+00, -5.93094186e+00, 0.0000000000, 7842.9527780502, 0.0756904332
          82, -6.45675896e+03, 0.00000000e+00, 0.00000000e+00, -5.94803144e+00, 0.0000000000, 5647.9269785925, 0.0765830369
          83, -5.66583587e+03, 0.00000000e+00, 0.00000000e+00, -6.09570475e+00, 0.0000000000, 5828.5528729325, 0.0774753268
          84, -4.60221685e+03, 0.00000000e+00, 0.00000000e+00, -6.11618061e+00, 0.0000000000, 7650.6685386679, 0.0783673160
